,Tweets,Subjectivity,Polarity,Analysis
0,It s called the britishvirus COVID19 CovidVaccine Covid19UK,0.0,0.0,Neutral
1,1.80 lakh Covishield vaccine reaches Kochi; to be distributed from 113 centres  covidvaccine,0.0,0.0,Neutral
2,CCAMP startup  talks to  on last-mile challenges in immunization &amp; how they've equipped their… ,0.0,0.0,Neutral
3,"Another reaction 😡😡😡
CovidVaccine 
CovidVaccinesideeffects ",0.0,0.0,Neutral
4, _Mlu_  You are making the mistake of letting Cyril fool you mRNA CovidVaccine are… ,0.0,0.0,Neutral
5,Devastating 😢WearADamnMask CovidVaccine ,1.0,-1.0,Negative
6,"Another record setting COVID death toll at 4200+ souls gone today... and many more to come.

Resist CovidVaccine… ",0.5,0.5,Positive
7, Information is the only useful tool for decision making. Here's my contribution. Don't believe it's go do r… ,0.5,0.15,Positive
8,These  BASTARDS KILL FOLKS BRAINS WITH THEIR GODDAMNED CovidVaccine . They Goddamned Kill our GodGiven… ,0.0,0.0,Neutral
9,"In Andaman and Nicobar, the Covid-19 vaccination drive is going to begin on 16th January. In the first phase, the C… ",0.3333333333333333,0.25,Positive
10,First batch of CovidVaccine arrived at Kochi. The vaccine came from Chennai and will store at Ernakulam General… ,0.3333333333333333,0.25,Positive
11,YES YES YES!! Now let's talk about how Israel is refusing to distribute the CovidVaccine to Palestinians.… ,0.0,0.0,Neutral
12,I’m definitely not taking any vaccine!! CovidVaccine CoronavirusVaccine COVIDVaccination ❌. This systematic depo… ,0.5,0.0,Neutral
13,"Coronavirus: Brazil finds China’s Sinovac vaccine to be less effective than previous data shows

CovidVaccine… ",0.3444444444444445,0.0888888888888889,Positive
14,A question for all the mRNA CovidVaccine Promoters  _Hanekom  … ,0.0,0.0,Neutral
15,"Put the vaccine in MIRCHI BADA and you'll see the whole of Jodhpur get vaccinated by noon.

vaccine… ",0.4,0.2,Positive
16,"3/n COVIDVaccination Kerala CovidVaccine 

Vaccination programme against COVID19 to take place on Saturday @ 1… ",0.0,0.0,Neutral
17,"Malaria has been there, NO VACCINE!!.
AIDS has been there, NO VACCINE!!.
Cancer has been there, NO VACCINE!!.… ",0.0,0.0,Neutral
18,Any government that subjects it's citizens to the whole COVID19/CovidVaccine plandemic of depopulating the world… ,0.4,0.2,Positive
19,Dr Reddy’s seeks DCGI approval for phase 3 clinical trials of Russian Sputnik V Covid-19 vaccine… ,0.0,0.0,Neutral
20,"2/n  COVIDVaccination Kerala CovidVaccine 

Of the total 4,33,500 dose of CovishieldVaccine, 

1,34,000 is for… ",0.75,0.0,Neutral
21,Supreme Court orders that State and Union Territories shall take decision by January 31 on the opening of Anganwadi… ,0.0,0.0,Neutral
22,"Holistic Treatment for diabetes depression with yogapractice 

CovidVaccine COVID19 vaccine TREASURE Tesla… ",0.0,0.0,Neutral
23, This guy's yi double agent. He works for Gates and advises on Covid19InSA health interventions. He… ,0.0,0.0,Neutral
24,"Canada building facilities to make vaccines for COVID-19 and other viruses:



 advertising… ",0.375,-0.125,Negative
25,This calculator estimates where you are in the queue to receive a CovidVaccine in Canada if all vaccines are appr… ,0.0,0.0,Neutral
26,How to cover CovidVaccine. Free webinar from . JournalismMatters ,0.8,0.4,Positive
27,J&amp;K govt has decided to airlift CovidVaccine doses to many far-flung areas of JammuKashmir which are cut off by r… ,0.5,0.5,Positive
28,"Coronavirus Pandemic: My family in Germany got vaccinated against Covid-19. Guess what happened!

StayPositive… ",0.0,0.0,Neutral
29,"Vaccine Race! - WHO WILL WIN THE RACE ?
coronavirus COVID19 CoronaVirusUpdates CovidVaccine
vaccination… ",0.4,0.8,Positive
30,"T+13 hours after my second dose of covid vaccine. My skin aches, as does my arm, and my face feels warm. Hands are… ",0.3,0.3,Positive
31,"1/n COVIDVaccination Kerala CovidVaccine 

State to get a total of 4,33,500 doses of 's… ",0.75,0.0,Neutral
32,"CovidVaccine 
We need to continue to hang in there, fight to stay the course, stay put, WearAMask .... ",0.0,0.0,Neutral
33,"Welcome CoronavirusVaccine in jaipur CovidVaccine Jaipur CMHO coronavirus CoronaVirusUpdates
… ",0.9,0.8,Positive
34,"So, will Bharat Biotech be the first to have data on the COVID-19 vaccine in young children? The company would have… ",0.3666666666666667,0.175,Positive
35,CovidVaccine price to Govt. of India ,0.0,0.0,Neutral
36,"Welcome CoronavirusVaccine in jaipur CovidVaccine Jaipur CMHO coronavirus CoronaVirusUpdates
… ",0.9,0.8,Positive
37,"Possibly most fulfilling moment of fellowship thus far was today, successfully hurrying every one of my 70yo+ VA cl… ",0.8166666666666668,0.45,Positive
38, That lady ke domkop. Just like all the people who believe a guy who killed innocent protestors at… ,0.35,0.15,Positive
39,"⚡️ “Can you spread Covid-19 if you get the vaccine?” by   
COVID19Aus coronavirus… ",0.0,0.0,Neutral
40,"This is one of the worst COVID-19 stories I've heard. CovidVaccine
Cherokee County woman dies from COVID-19 as hus… ",1.0,-1.0,Negative
41,_S_Malema RIP and RIP in advance to the souls you are not informing about Covid19InSA and CovidVaccine mRN… ,0.0,0.0,Neutral
42,Lunch time tempo run with     fun hardworkpaysoff StayHome; running is my… ,0.2,0.3,Positive
43,got vaccinated yesterday. CovidVaccine HealthcareHeroes statenisland nyc COVIDVaccination ,0.0,0.0,Neutral
44,"Vistara’s flight carrying second consignment of BharatBiotech’s Covaxin lands in Delhi

COVID19 CovidVaccine… ",0.0,0.0,Neutral
45, How when they are selling poisons as medicines CovidVaccine mRNA vaccines are poison factories Dr and Scie… ,0.0,0.0,Neutral
46,"Children below 18 years of age and pregnant women should not take the vaccine  

CovidVaccine… ",0.5,0.3333333333333333,Positive
47,"How to control and manage diabetes depression diet with Yoga, Holistic management.
Walk the Talk with Dr. Rajesh… ",0.0,0.0,Neutral
48,"As India gears up for a massive vaccination drive, Dr Kanchan Sanyal, Advisor, Health and Wellness at Columbia Pac… ",1.0,0.0,Neutral
49,Hello  I am an American citizen living here in Bangkok and would like to know about how the covid vacc… ,0.0,0.0,Neutral
50,"*COVID19 Vaccine : Know which state got how many COVIDSHIELD doses*


CovidVaccine… ",0.5,0.5,Positive
51,"Bharat Biotech has Signed an agreement with Precisa Medicamentos for Supply of COVAXIN in Brazil. 
_Sinha_… ",0.0,0.0,Neutral
